blockNumber,timeStamp,from,to,value,TxnFee
10368727,2020-06-30 18:24:05,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,11.0,0.001155
10168341,2020-05-30 16:59:17,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,10.0,0.0006720000000000001
9972837,2020-04-30 08:21:41,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,78.3,0.0006720000000000001
9826087,2020-04-07 16:35:56,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,0x919d26c4c7080712d4e73cd29d9dad29eb06062a,50.0,0.001281
9779109,2020-03-31 11:02:12,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,48.5,0.0006720000000000001
9584609,2020-03-01 10:22:00,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,86.0,0.0006720000000000001
9389137,2020-01-31 09:07:10,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,74.3,0.0006720000000000001
9190393,2019-12-31 10:26:53,0x94ec9911007987ac4a655f853c24a55d158ee21c,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,29.982,0.00042
9185607,2019-12-30 11:19:40,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,21.5,0.0006720000000000001
9164288,2019-12-26 05:35:32,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,9.522541707683837,2.1000000000000002e-05
9155373,2019-12-24 10:54:47,0x94ec9911007987ac4a655f853c24a55d158ee21c,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,36.0,0.00042
9129670,2019-12-19 07:49:46,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,0x9929c54c2676cc3c26fed5bf8df190f19335ac79,11.6,0.0006720000000000001
9129156,2019-12-19 05:29:57,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,50.39221531412394,2.1000000000000002e-05
9124115,2019-12-18 05:23:25,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,53.09598670155216,2.1000000000000002e-05
9119074,2019-12-17 05:16:15,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,51.96641293821218,2.1000000000000002e-05
