Open time,Close time,Open,High,Low,Close,BNB Volume,BTC Volume,Number of trades,Taker buyBNB volume,Taker buyBTC volume
2020-06-01 00:00:00,2020-06-01 00:59:59.999,0.00180920,0.00181300,0.00179980,0.00181160,73009.76000000,131.88140343,3273,33488.33000000,60.49472438
2020-06-01 01:00:00,2020-06-01 01:59:59.999,0.00181140,0.00182590,0.00180810,0.00182370,54387.68000000,98.88139679,2607,32128.36000000,58.40996645
2020-06-01 02:00:00,2020-06-01 02:59:59.999,0.00182410,0.00183440,0.00182200,0.00183440,64901.54000000,118.52116108,2892,36141.49000000,66.01605924
2020-06-01 03:00:00,2020-06-01 03:59:59.999,0.00183410,0.00183620,0.00182210,0.00182550,55693.64000000,101.87165633,2215,28625.06000000,52.36184988
2020-06-01 04:00:00,2020-06-01 04:59:59.999,0.00182520,0.00182530,0.00181400,0.00181480,50167.58000000,91.31911996,2602,23023.27000000,41.92159612
2020-06-01 05:00:00,2020-06-01 05:59:59.999,0.00181440,0.00182040,0.00181140,0.00181720,43703.21000000,79.40007673,2017,27330.48000000,49.66060861
2020-06-01 06:00:00,2020-06-01 06:59:59.999,0.00181660,0.00182160,0.00181350,0.00181850,34956.09000000,63.53626958,1709,15412.55000000,28.01641350
2020-06-01 07:00:00,2020-06-01 07:59:59.999,0.00181840,0.00182490,0.00181700,0.00181820,59289.20000000,107.97256240,2509,27420.24000000,49.94244738
2020-06-01 08:00:00,2020-06-01 08:59:59.999,0.00181770,0.00182630,0.00181660,0.00182090,25283.46000000,46.06613675,2072,13399.67000000,24.41442048
2020-06-01 09:00:00,2020-06-01 09:59:59.999,0.00182090,0.00182740,0.00182020,0.00182130,25388.87000000,46.29893135,1942,12054.35000000,21.98106029
2020-06-01 10:00:00,2020-06-01 10:59:59.999,0.00182090,0.00182370,0.00181400,0.00181630,27712.03000000,50.37192210,2152,13238.74000000,24.06851684
2020-06-01 11:00:00,2020-06-01 11:59:59.999,0.00181650,0.00182090,0.00181420,0.00181790,30160.90000000,54.82937062,1808,16582.20000000,30.14539089
2020-06-01 12:00:00,2020-06-01 12:59:59.999,0.00181790,0.00181800,0.00180660,0.00181490,44024.55000000,79.79323886,3240,22322.59000000,40.46297642
2020-06-01 13:00:00,2020-06-01 13:59:59.999,0.00181470,0.00181780,0.00181300,0.00181700,45142.99000000,81.97007726,1768,12969.23000000,23.54994281
2020-06-01 14:00:00,2020-06-01 14:59:59.999,0.00181640,0.00182080,0.00181520,0.00181990,24864.46000000,45.21333771,1911,14464.40000000,26.30548048
2020-06-01 15:00:00,2020-06-01 15:59:59.999,0.00182000,0.00182000,0.00181330,0.00181890,32639.85000000,59.32702494,1995,17228.19000000,31.32009830
2020-06-01 16:00:00,2020-06-01 16:59:59.999,0.00181900,0.00182000,0.00181330,0.00181790,65192.03000000,118.47065372,2263,19067.41000000,34.65346745
2020-06-01 17:00:00,2020-06-01 17:59:59.999,0.00181840,0.00182470,0.00181570,0.00181890,91841.10000000,167.24366433,1890,16087.60000000,29.29020462
2020-06-01 18:00:00,2020-06-01 18:59:59.999,0.00181910,0.00181930,0.00181330,0.00181730,65282.96000000,118.60006862,1472,11888.89000000,21.59943244
2020-06-01 19:00:00,2020-06-01 19:59:59.999,0.00181680,0.00182180,0.00181490,0.00182140,25661.31000000,46.66311751,1623,15065.81000000,27.40103970
2020-06-01 20:00:00,2020-06-01 20:59:59.999,0.00182140,0.00182290,0.00180650,0.00180710,30839.48000000,55.98512648,2436,17383.82000000,31.57114326
2020-06-01 21:00:00,2020-06-01 21:59:59.999,0.00180720,0.00181800,0.00180400,0.00181610,74282.44000000,134.38575521,2047,12903.42000000,23.36738930
2020-06-01 22:00:00,2020-06-01 22:59:59.999,0.00181620,0.00182060,0.00181120,0.00181500,55701.30000000,101.14522087,2592,22772.33000000,41.36010715
2020-06-01 23:00:00,2020-06-01 23:59:59.999,0.00181490,0.00181490,0.00174950,0.00175840,233577.54000000,414.96146437,18401,82893.47000000,147.26170505
2020-06-02 00:00:00,2020-06-02 00:59:59.999,0.00175880,0.00176730,0.00175140,0.00176610,57500.85000000,101.06289857,3260,28903.62000000,50.81442351
2020-06-02 01:00:00,2020-06-02 01:59:59.999,0.00176610,0.00176910,0.00176100,0.00176390,51167.09000000,90.28875730,2383,22669.26000000,40.00463023
2020-06-02 02:00:00,2020-06-02 02:59:59.999,0.00176370,0.00177440,0.00176300,0.00177160,62594.78000000,110.72699348,2317,38194.93000000,67.60398871
2020-06-02 03:00:00,2020-06-02 03:59:59.999,0.00177170,0.00177670,0.00176620,0.00177080,36681.06000000,64.99287732,1675,20282.28000000,35.94093240
2020-06-02 04:00:00,2020-06-02 04:59:59.999,0.00177080,0.00177380,0.00176570,0.00177200,72179.65000000,127.74806910,2178,45196.65000000,80.00333902
2020-06-02 05:00:00,2020-06-02 05:59:59.999,0.00177200,0.00178060,0.00176970,0.00177960,79764.23000000,141.54691723,2397,58594.47000000,103.98965859
2020-06-02 06:00:00,2020-06-02 06:59:59.999,0.00177960,0.00178190,0.00177090,0.00178140,52475.02000000,93.28426784,2011,34436.76000000,61.23574656
2020-06-02 07:00:00,2020-06-02 07:59:59.999,0.00178140,0.00178900,0.00177800,0.00178070,80782.99000000,144.12329520,3219,48865.40000000,87.18909608
2020-06-02 08:00:00,2020-06-02 08:59:59.999,0.00178040,0.00178580,0.00177560,0.00177980,56006.00000000,99.70754520,2670,31741.88000000,56.51378015
