,,bids,asks
84,qty,83.91000000,155.02000000
85,price,0.00172090,0.00174080
85,qty,1.58000000,81.07000000
86,price,0.00172080,0.00174090
86,qty,32.89000000,6.39000000
87,price,0.00172070,0.00174100
87,qty,2.90000000,7.98000000
88,price,0.00172060,0.00174110
88,qty,0.29000000,6.51000000
89,price,0.00172050,0.00174120
89,qty,24.28000000,3.59000000
90,price,0.00172040,0.00174130
90,qty,239.94000000,0.06000000
91,price,0.00172030,0.00174140
91,qty,115.48000000,4.28000000
92,price,0.00172020,0.00174150
92,qty,0.80000000,0.54000000
93,price,0.00172010,0.00174160
93,qty,7.00000000,11.78000000
94,price,0.00172000,0.00174170
94,qty,1105.93000000,24.02000000
95,price,0.00171990,0.00174180
95,qty,7.72000000,6.08000000
96,price,0.00171980,0.00174190
96,qty,6.40000000,1.04000000
97,price,0.00171970,0.00174200
97,qty,8.06000000,1014.64000000
98,price,0.00171960,0.00174210
98,qty,44.81000000,31.50000000
99,price,0.00171950,0.00174220
99,qty,16.91000000,3.05000000
